# source	target	keep_as_is	confidence	notes
public endpoint	パブリックエンドポイント	false	high	bold | 1 section(s)
authentication token	認証トークン	false	high	bold | 1 section(s)
global cluster	グローバルクラスター	false	high	bold | 1 section(s)
primary cluster	プライマリークラスター	false	high	bold | 1 section(s)
secondary clusters	セカンダリークラスター	false	high	bold | 1 section(s)
write requests	書き込みリクエスト	false	high	bold | 1 section(s)
read requests	読み取りリクエスト	false	high	bold | 1 section(s)
Switchover	スイッチオーバー	false	high	bold | 1 section(s)
Failover	フェイルオーバー	false	high	bold | 1 section(s)
Storage costs	ストレージ費用	false	high	bold | 1 section(s)
Data transfer costs	データ転送費用	false	high	bold | 1 section(s)
Plan availability	プランの可用性	false	high	bold | 1 section(s)
Unix cron	Unix cron	true	high	bold | 1 section(s)
all fields match	すべてのフィールドが一致	false	high	bold | 1 section(s)
CU Computation	CU計算	false	high	bold | 1 section(s)
replica count	レプリカ数	false	high	bold | 1 section(s)
CU computation	CU計算	false	high	bold | 1 section(s)
Minimum Replica	最小レプリカ	false	high	bold | 1 section(s)
Maximum Replica	最大レプリカ	false	high	bold | 1 section(s)
Current Replica Count: 1	現在のレプリカ数：1	false	high	bold | 1 section(s)
recurring patterns	繰り返しパターン	false	high	bold | 1 section(s)
Basic mode	基本モード	false	high	bold | 1 section(s)
Advanced mode	詳細モード	false	high	bold | 1 section(s)
unpredictable workloads	予測不可能なワークロード	false	high	bold | 1 section(s)
min–max range	最小-最大範囲	false	high	bold | 1 section(s)
CU Capacity	CU容量	false	high	bold, ngram-2 | 1 section(s)
dynamic scaling	動的スケーリング	false	high	bold | 1 section(s)
Suggestion	提案	false	high	bold | 1 section(s)
Resource check	リソースチェック	false	high	bold | 1 section(s)
Modifying	変更中	false	high	bold | 1 section(s)
Job completed	ジョブが完了しました	false	high	bold | 1 section(s)
Resource Limitations	リソースの制限	false	high	bold | 1 section(s)
Number of Query CU	クエリCU数	false	high	bold | 1 section(s)
Replica count	レプリカ数	false	high	bold | 1 section(s)
During Scaling	スケーリング中	false	high	bold | 1 section(s)
Performance Impact	パフォーマンスへの影響	false	high	bold | 1 section(s)
CU capacity	CU容量	false	high	bold | 1 section(s)
Minimum Query CU	最小クエリCU	false	high	bold | 1 section(s)
Maximum Query CU	最大クエリCU	false	high	bold | 1 section(s)
Vector index	ベクトルインデックス	false	high	bold | 1 section(s)
Scalar index	スカラーインデックス	false	high	bold | 1 section(s)
Text functions	テキスト関数	false	high	bold | 1 section(s)
Rerank functions	Rerank関数	false	high	bold | 1 section(s)
at query time	クエリ時	false	high	bold | 1 section(s)
partition key	パーティションキー	false	high	bold | 1 section(s)
Enabling dynamic field	動的フィールドの有効化	false	high	bold | 1 section(s)
"true"	"true"	true	high	bold | 1 section(s)
"false"	"false"	true	high	bold | 1 section(s)
January 1st	1月1日	false	high	bold | 1 section(s)
January 31st	1月31日	false	high	bold | 1 section(s)
Feburary 28th	2月28日	false	high	bold | 1 section(s)
January 15th	1月15日	false	high	bold | 1 section(s)
February 13th	2月13日	false	high	bold | 1 section(s)
February 14th	2月14日	false	high	bold | 1 section(s)
Simplicity	シンプルさ	false	high	bold | 1 section(s)
Efficiency	効率性	false	high	bold | 1 section(s)
Consistency	一貫性	false	high	bold | 1 section(s)
Object access URIs	オブジェクトアクセスURI	false	high	bold | 1 section(s)
Required permissions	必要な権限	false	high	bold | 1 section(s)
Credential acquisition	認証情報の取得	false	high	bold | 1 section(s)
Cluster Endpoint	クラスターエンドポイント	false	high	bold | 1 section(s)
Cluster ID	クラスターID	false	high	bold | 1 section(s)
Secret Key	シークレットキー	false	high	bold | 1 section(s)
Entity Count	エンティティ数	false	high	bold, ngram-2 | 1 section(s)
Partitions	パーティション	false	high	bold | 1 section(s)
Loaded Entities	ロードされたエンティティ	false	high	bold, ngram-2 | 1 section(s)
Build index	インデックスの構築	false	high	bold | 1 section(s)
Accelerate queries	クエリの高速化	false	high	bold | 1 section(s)
Decompose text into n-grams	テキストをn-gramに分解する	false	high	bold | 1 section(s)
Build an inverted index	転置インデックスを構築する	false	high	bold | 1 section(s)
Prefix match	前方一致	false	high	bold | 1 section(s)
Suffix match	後方一致	false	high	bold | 1 section(s)
Infix match	中間一致	false	high	bold | 1 section(s)
Wildcard match	ワイルドカード一致	false	high	bold | 1 section(s)
JSON path queries	JSONパス クエリ	false	high	bold | 1 section(s)
Field types	フィールド型	false	high	bold | 1 section(s)
Unicode	Unicode	true	high	bold | 1 section(s)
Space–time trade-off	空間的・時間的トレードオフ	false	high	bold | 1 section(s)
Immutability	不変性	false	high	bold | 1 section(s)
Avoid low-selectivity grams	選択性の低いグラムを避ける	false	high	bold | 1 section(s)
Normalize consistently	一貫して正規化する	false	high	bold | 1 section(s)
signature vector	シグネチャベクトル	false	high	bold | 1 section(s)
approximate the Jaccard similarity	Jaccard類似度を近似する	false	high	bold | 1 section(s)
Shingling	シャイングリング	false	high	bold | 1 section(s)
Hashing	ハッシュ化	false	high	bold | 1 section(s)
Min Selection	最小選択	false	high	bold | 1 section(s)
Band 0	Band 0	true	high	bold | 1 section(s)
Chunk & preprocess	チャンク化と前処理	false	high	bold | 1 section(s)
Feature construction	特徴量構築	false	high	bold | 1 section(s)
MinHash signature generation	MinHashシグネチャ生成	false	high	bold | 1 section(s)
Binary vector conversion	バイナリベクトル変換	false	high	bold | 1 section(s)
accurate Jaccard similarity	正確なJaccard類似度	false	high	bold | 1 section(s)
Token set extraction example	トークンセット抽出の例	false	high	bold | 1 section(s)
Approximate search	近似検索	false	high	bold | 1 section(s)
Refined search	絞り込み検索	false	high	bold | 1 section(s)
Precision-first	精度優先	false	high	bold | 1 section(s)
Balanced	バランス	false	high	bold | 1 section(s)
Capacity-first	容量優先	false	high	bold | 1 section(s)
Metric Type	メトリックタイプ	false	high	bold | 1 section(s)
Existing entities	既存のエンティティ	false	high	bold | 1 section(s)
New entities	新しいエンティティ	false	high	bold | 1 section(s)
Field availability	フィールドの可用性	false	high	bold | 1 section(s)
Queryable immediately	即時クエリ可能	false	high	bold | 1 section(s)
New collection	新しいコレクション	false	high	bold | 1 section(s)
Existing collection	既存のコレクション	false	high	bold | 1 section(s)
zero or more	ゼロ個以上	false	high	bold | 1 section(s)
Built-in analyzer	組み込みアナライザー	false	high	bold | 1 section(s)
Custom analyzer	カスタムアナライザー	false	high	bold | 1 section(s)
Built-in filters	組み込みフィルター	false	high	bold | 1 section(s)
Custom filters	カスタムフィルター	false	high	bold | 1 section(s)
default analyzer	デフォルトアナライザー	false	high	bold | 1 section(s)
Language-specific analyzers	言語固有のアナライザー	false	high	bold | 1 section(s)
Language	言語	false	high	bold | 1 section(s)
practical decision-making	実用的な意思決定	false	high	bold | 1 section(s)
phrase match	フレーズ一致	false	high	bold | 1 section(s)
text match	テキスト一致	false	high	bold | 1 section(s)
Standard analyzer behavior	標準アナライザーの動作	false	high	bold | 1 section(s)
Example transformation	変換例	false	high	bold | 1 section(s)
When to use icu	icuを使用する場合	false	high	bold | 1 section(s)
Alternative approaches	代替アプローチ	false	high	bold | 1 section(s)
Over-tokenization	過剰なトークン化	false	high	bold | 1 section(s)
Under-tokenization	不十分なトークン化	false	high	bold | 1 section(s)
Missing tokens	欠落しているトークン	false	high	bold | 1 section(s)
Advanced multilingual processing	高度な多言語処理	false	high	bold | 1 section(s)
multi-language analyzer	多言語アナライザー	false	high	bold | 1 section(s)
language identifier	言語識別子	false	high	bold | 1 section(s)
Primary Key Field	主キーフィールド	false	high	bold | 1 section(s)
Language Indicator Field	言語インジケーターフィールド	false	high	bold | 1 section(s)
Text Content Field	テキストコンテンツフィールド	false	high	bold | 1 section(s)
Vector Field	ベクトルフィールド	false	high	bold | 1 section(s)
not explicitly defined	明示的に定義されていない	false	high	bold | 1 section(s)
JSON path indexing	JSONパスインデックス	false	high	bold | 1 section(s)
JSON cast type	JSONキャストタイプ	false	high	bold | 1 section(s)
Retrieving dynamic field keys	動的フィールドキーの取得	false	high	bold | 1 section(s)
different data type	異なるデータ型	false	high	bold | 1 section(s)
not use the index	インデックスを使用しない	false	high	bold | 1 section(s)
JSON and ARRAY fields	JSONおよびARRAYフィールド	false	high	bold | 1 section(s)
exactly one	ちょうど1つ	false	high	bold | 1 section(s)
Semantic search	セマンティック検索	false	high	bold | 1 section(s)
Full-text search	全文検索	false	high	bold | 1 section(s)
Metadata filtering	メタデータフィルタリング	false	high	bold | 1 section(s)
vector fields	ベクトルフィールド	false	high	bold | 1 section(s)
scalar fields	スカラーフィールド	false	high	bold | 1 section(s)
Hierarchical data	階層データ	false	high	bold | 1 section(s)
Multimodal embeddings	マルチモーダル埋め込み	false	high	bold | 1 section(s)
Temporal or sequential data	時系列データまたはシーケンシャルデータ	false	high	bold | 1 section(s)
ego vehicle's behaviors	自車両の挙動	false	high	bold | 1 section(s)
detected objects	検出されたオブジェクト	false	high	bold | 1 section(s)
Int64	Int64	true	high	bold, backtick | 1 section(s)
Boolean	Boolean	true	high	bold | 1 section(s)
Int	Int	true	high	bold | 1 section(s)
Float	Float	true	high	bold, backtick | 1 section(s)
Double	Double	true	high	bold, backtick | 1 section(s)
Default Values	デフォルト値	false	high	bold | 1 section(s)
Array Capacity	配列容量	false	high	bold | 1 section(s)
String Handling	文字列処理	false	high	bold | 1 section(s)
Data types	データ型	false	high	bold | 1 section(s)
Nullable & default values	NULL許容とデフォルト値	false	high	bold | 1 section(s)
Scalar filtering	スカラーフィルタリング	false	high	bold | 1 section(s)
Text 1	テキスト1	false	high	bold | 1 section(s)
Text 2	テキスト2	false	high	bold | 1 section(s)
Milvus	Milvus	true	high	bold | 1 section(s)
vector database	ベクトルデータベース	false	high	bold | 1 section(s)
retrieval system	検索システム	false	high	bold | 1 section(s)
within 1km	1km以内	false	high	bold | 1 section(s)
Examples of valid strings	有効な文字列の例	false	high	bold | 1 section(s)
Examples of invalid strings	無効な文字列の例	false	high	bold | 1 section(s)
Data cast type	データキャストタイプ	false	high	bold | 1 section(s)
Optional type conversion	オプションの型変換	false	high	bold | 1 section(s)
Flattens the JSON structure	JSON構造をフラット化する	false	high	bold | 1 section(s)
Infers data types	データ型を推論する	false	high	bold | 1 section(s)
Creates comprehensive coverage	包括的なカバレッジを作成する	false	high	bold | 1 section(s)
partial indexing	部分インデックス	false	high	bold | 1 section(s)
Read-heavy workloads	読み込み集中型ワークロード	false	high	bold | 1 section(s)
Mixed query patterns	混合クエリパターン	false	high	bold | 1 section(s)
Typed keys	型付きキー	false	high	bold | 1 section(s)
Dynamic keys	動的キー	false	high	bold | 1 section(s)
Shared keys	共有キー	false	high	bold | 1 section(s)
Shredded columns	シャーデッドカラム	false	high	bold | 1 section(s)
Shared column	共有カラム	false	high	bold | 1 section(s)
shared keys	共有キー	false	high	bold | 1 section(s)
Fast path	高速パス	false	high	bold | 1 section(s)
Optimized path	最適化されたパス	false	high	bold | 1 section(s)
Hardware	ハードウェア	false	high	bold | 1 section(s)
Dataset	データセット	false	high	bold | 1 section(s)
Average document size	平均ドキュメントサイズ	false	high	bold | 1 section(s)
Test duration	テスト期間	false	high	bold | 1 section(s)
Shared key queries	共有キー検索	false	high	bold | 1 section(s)
Typed key queries	型付きキー検索	false	high	bold | 1 section(s)
All query types	すべてのクエリタイプ	false	high	bold | 1 section(s)
JSON shredding	JSONシュレッディング	false	high	bold | 1 section(s)
floating-point numbers	浮動小数点数	false	high	bold | 1 section(s)
Traditional statistical techniques	従来の統計手法	false	high	bold | 1 section(s)
Neural sparse embedding models	ニューラル疎埋め込みモデル	false	high	bold | 1 section(s)
Accepted input format	許容される入力形式	false	high	bold | 1 section(s)
Timestamp parsing rules	タイムスタンプのパースルール	false	high	bold | 1 section(s)
Asia/Shanghai	Asia/Shanghai	true	high	bold | 1 section(s)
Internal storage	内部ストレージ	false	high	bold | 1 section(s)
Comparison and filtering	比較とフィルタリング	false	high	bold | 1 section(s)
not equal	等しくない	false	high	bold | 1 section(s)
Bounded	Bounded	true	high	bold, backtick | 1 section(s)
batch data	バッチデータ	false	high	bold | 1 section(s)
streaming data	ストリーミングデータ	false	high	bold | 1 section(s)
Eventual	Eventual	true	high	bold | 1 section(s)
Array	配列	false	high	bold | 1 section(s)
Dense vector search	密ベクトル検索	false	high	bold | 1 section(s)
Sparse vector search	疎ベクトル検索	false	high	bold | 1 section(s)
standard filtering	標準フィルタリング	false	high	bold | 1 section(s)
iterative filtering	反復フィルタリング	false	high	bold | 1 section(s)
Comparison Operators	比較演算子	false	high	bold | 1 section(s)
Range Filters	範囲フィルター	false	high	bold | 1 section(s)
Arithmetic Operators	算術演算子	false	high	bold | 1 section(s)
Logical Operators	論理演算子	false	high	bold | 1 section(s)
Indexing	インデックス作成	false	high	bold | 1 section(s)
Reduced Parsing Time	パース時間の短縮	false	high	bold | 1 section(s)
Data exploration	データ探索	false	high	bold | 1 section(s)
Development testing	開発テスト	false	high	bold | 1 section(s)
Resource optimization	リソース最適化	false	high	bold | 1 section(s)
Development workflow	開発ワークフロー	false	high	bold | 1 section(s)
Statistical validity	統計的妥当性	false	high	bold | 1 section(s)
Performance testing	パフォーマンステスト	false	high	bold | 1 section(s)
Raw text input	生テキスト入力	false	high	bold | 1 section(s)
Text analysis	テキスト分析	false	high	bold | 1 section(s)
BM25 function processing	BM25関数処理	false	high	bold | 1 section(s)
Collection store	コレクションストア	false	high	bold | 1 section(s)
BM25 relevance scoring	BM25関連性スコアリング	false	high	bold | 1 section(s)
Design Rationale	設計思想	false	high	bold | 1 section(s)
Number of groups	グループ数	false	high	bold | 1 section(s)
Entities per group	グループあたりのエンティティ数	false	high	bold | 1 section(s)
Strict group size	厳密なグループサイズ	false	high	bold | 1 section(s)
Sparse-Dense Vector Search	疎密ベクトル検索	false	high	bold | 1 section(s)
Multimodal Vector Search	マルチモーダルベクトル検索	false	high	bold | 1 section(s)
Full-Text Search	全文検索	false	high	bold | 1 section(s)
"robotics machine learning"	"robotics machine learning"	true	high	bold | 1 section(s)
"robotics"	"robotics"	true	high	bold | 1 section(s)
"machine"	"machine"	true	high	bold | 1 section(s)
"learning"	"learning"	true	high	bold | 1 section(s)
"machine learning"	"machine learning"	true	high	bold | 1 section(s)
"deep"	"deep"	true	high	bold | 1 section(s)
Document Tokenization	ドキュメントのトークン化	false	high	bold | 1 section(s)
Inverted Index Creation	転置インデックスの作成	false	high	bold | 1 section(s)
Phrase Matching	フレーズマッチング	false	high	bold | 1 section(s)
slop = 0	slop = 0	true	high	bold | 1 section(s)
slop = 2	slop = 2	true	high	bold | 1 section(s)
"learning machine"	"learning machine"	true	high	bold | 1 section(s)
"machine boosts learning"	"machine boosts learning"	true	high	bold | 1 section(s)
"machine quickly boosts learning"	"machine quickly boosts learning"	true	high	bold | 1 section(s)
MinHash Jaccard	MinHash Jaccard	true	high	bold | 1 section(s)
Applicable vector type	適用可能なベクトル型	false	high	bold | 1 section(s)
Distance definition	距離の定義	false	high	bold | 1 section(s)
maximum similarity	最大類似度	false	high	bold | 1 section(s)
metric type	メトリックタイプ	false	high	bold | 1 section(s)
Limit	制限	false	high	bold | 1 section(s)
Offset	オフセット	false	high	bold | 1 section(s)
Which terms are highlighted	強調表示される用語	false	high	bold | 1 section(s)
BM25 full text search	BM25全文検索	false	high	bold | 1 section(s)
text-based filtering expressions	テキストベースのフィルタリング式	false	high	bold | 1 section(s)
Highlighter configuration	ハイライター設定	false	high	bold | 1 section(s)
Highlighting output	ハイライト出力	false	high	bold | 1 section(s)
Performance-optimized	パフォーマンス最適化済み	false	high	bold | 1 section(s)
Capacity-optimized	容量最適化済み	false	high	bold | 1 section(s)
Extended-capacity CUs	拡張容量CU	false	high	bold | 1 section(s)
Cosine	コサイン	false	high	bold | 1 section(s)
Jaccard	Jaccard	true	high	bold | 1 section(s)
Hamming	ハミング	false	high	bold | 1 section(s)
Clone	クローン	false	high	bold | 1 section(s)
Clone scope	クローンスコープ	false	high	bold | 1 section(s)
Collection schema and data	コレクションのスキーマとデータ	false	high	bold | 1 section(s)
For inserts	挿入の場合	false	high	bold | 1 section(s)
For deletes	削除の場合	false	high	bold | 1 section(s)
Let's Encrypt	Let's Encrypt	true	high	bold | 1 section(s)
TLS 1.2	TLS 1.2	true	high	bold | 1 section(s)
TLS 1.2+	TLS 1.2+	true	high	bold | 1 section(s)
Organization Information	組織情報	false	high	bold | 1 section(s)
BM25 function	BM25関数	false	high	bold | 1 section(s)
document ingestion	ドキュメントの取り込み	false	high	bold | 1 section(s)
sparse embeddings	スパース埋め込み	false	high	bold | 1 section(s)
same analyzer	同じアナライザー	false	high	bold | 1 section(s)
term level	タームレベル	false	high	bold | 1 section(s)
document level	ドキュメントレベル	false	high	bold | 1 section(s)
Term-level scoring	タームレベルスコアリング	false	high	bold | 1 section(s)
Pre-search	検索前	false	high	bold | 1 section(s)
Post-search	検索後	false	high	bold | 1 section(s)
Pre-search Function	検索前関数	false	high	bold | 1 section(s)
Post-search Function	検索後関数	false	high	bold | 1 section(s)
what role they play	それらが果たす役割	false	high	bold | 1 section(s)
Pre-search Functions	検索前関数	false	high	bold, ngram-2 | 1 section(s)
Post-search Functions	検索後関数	false	high	bold, ngram-2 | 1 section(s)
after candidate retrieval	候補取得後	false	high	bold | 1 section(s)
do not	～しない	false	high	bold | 1 section(s)
model-based Functions	モデルベース関数	false	high	bold | 1 section(s)
deployment ID	デプロイメントID	false	high	bold | 1 section(s)
Model Unit Price	モデル単価	false	high	bold | 1 section(s)
Usage Time	使用時間	false	high	bold | 1 section(s)
Choose an embedding model	埋め込みモデルを選択	false	high	bold | 1 section(s)
Collect Search Rankings	検索ランキングを収集	false	high	bold | 1 section(s)
Aggregate Rankings	ランキングを集計	false	high	bold | 1 section(s)
Collect Search Scores	検索スコアを収集	false	high	bold | 1 section(s)
Score Normalization	スコアの正規化	false	high	bold | 1 section(s)
post-retrieval step	取得後ステップ	false	high	bold | 1 section(s)
Choose a rerank model	リランクモデルを選択	false	high	bold | 1 section(s)
at search time	検索時	false	high	bold | 1 section(s)
integration ID	統合ID	false	high	bold | 1 section(s)
Time unit consistency	時間単位の一貫性	false	high	bold | 1 section(s)
"AI research papers"	「AI研究論文」	false	high	bold | 1 section(s)
Gaussian	ガウス	false	high	bold | 1 section(s)
Exponential	指数	false	high	bold | 1 section(s)
Linear	線形	false	high	bold | 1 section(s)
Organizations	組織	false	high	bold | 1 section(s)
Organization-level isolation	組織レベルの分離	false	high	bold | 1 section(s)
Project-level isolation	プロジェクトレベルの分離	false	high	bold | 1 section(s)
Cluster-level isolation	クラスターレベルの分離	false	high	bold | 1 section(s)
Database	データベース	false	high	bold | 1 section(s)
Data isolation	データ分離	false	high	bold | 1 section(s)
Flexibility	柔軟性	false	high	bold | 1 section(s)
Others	その他	false	high	bold | 1 section(s)
Strong data isolation requirements	厳格なデータ分離要件	false	high	bold | 1 section(s)
Cross-tenant searches	テナント間検索	false	high	bold | 1 section(s)
Run Your Test >	テストを実行 >	false	high	bold | 1 section(s)
Results	結果	false	high	bold | 1 section(s)
DB Filter	DBフィルター	false	high	bold | 1 section(s)
Case Filter	ケースフィルター	false	high	bold | 1 section(s)
availability phase	利用可能フェーズ	false	high	bold | 1 section(s)
free cluster	フリークラスター	false	high	bold | 1 section(s)
free trial	無料トライアル	false	high	bold | 1 section(s)
Credits	クレジット	false	high	bold | 1 section(s)
Auto ID	自動ID	false	high	bold, ngram-2 | 1 section(s)
metric types	メトリックタイプ	false	high	bold | 1 section(s)
Work Email	仕事用メール	false	high	bold | 1 section(s)
Password	パスワード	false	high	bold | 1 section(s)
Resend Code	コードを再送信	false	high	bold | 1 section(s)
and click	をクリック	false	high	bold | 1 section(s)
Emails	メール	false	high	bold | 1 section(s)
Public Profile	公開プロフィール	false	high	bold | 1 section(s)
Public email	公開メール	false	high	bold | 1 section(s)
Next releases	次期リリース	false	high	bold | 1 section(s)
New Region	新しいリージョン	false	high	bold, ngram-2 | 1 section(s)
US-East-2	US-East-2	true	high	bold | 1 section(s)
US-West-2	US-West-2	true	high	bold | 1 section(s)
Data Preview	データプレビュー	false	high	bold | 1 section(s)
Milvus 2.1.x	Milvus 2.1.x	true	high	bold | 1 section(s)
Milvus 2.4 features	Milvus 2.4の機能	false	high	bold | 1 section(s)
multi-replica functionality	マルチレプリカ機能	false	high	bold | 1 section(s)
Migration Service	移行サービス	false	high	bold | 1 section(s)
RESTful APIs	RESTful API	false	high	bold, ngram-2 | 1 section(s)
Milvus 2.4.x	Milvus 2.4.x	true	high	bold | 1 section(s)
Average Weighted Scoring	平均加重スコアリング	false	high	bold, ngram-3 | 1 section(s)
Enhanced Availability	可用性の向上	false	high	bold | 1 section(s)
Notebook Gallery	ノートブックギャラリー	false	high	bold, ngram-2 | 1 section(s)
Multi-replica Availability	マルチレプリカ可用性	false	high	bold | 1 section(s)
AWS Tokyo Region	AWS東京リージョン	true	high	bold | 1 section(s)
Prometheus Integration	Prometheus連携	false	high	bold | 1 section(s)
AWS Marketplace Free Trial	AWS Marketplace無料トライアル	true	high	bold | 1 section(s)
Secure Communication	セキュアな通信	false	high	bold | 1 section(s)
Optimized Permissions	最適化された権限	false	high	bold | 1 section(s)
Public Preview	パブリックプレビュー	false	high	bold, ngram-2 | 1 section(s)
Milvus v2.4.x	Milvus v2.4.x	true	high	bold | 1 section(s)
Milvus 2.5.x	Milvus 2.5.x	true	high	bold | 1 section(s)
Try Preview Features	プレビュー機能を試す	false	high	bold, ngram-3 | 1 section(s)
semantic search	セマンティック検索	false	high	bold | 1 section(s)
industry-standard BM25	業界標準のBM25	false	high	bold | 1 section(s)
Stronger Security	より強力なセキュリティ	false	high	bold | 1 section(s)
within a private network	プライベートネットワーク内	false	high	bold | 1 section(s)
Easier Compliance	容易なコンプライアンス	false	high	bold | 1 section(s)
Simplified Network Configuration	簡素化されたネットワーク構成	false	high	bold | 1 section(s)
more straightforward and manageable	より分かりやすく管理しやすい	false	high	bold | 1 section(s)
Suspend	一時停止	false	high	bold | 1 section(s)
Private Preview	プライベートプレビュー	false	high	bold, ngram-2 | 1 section(s)
